TOWN OF ELBRIDGE 2010A OCR,TOWN OF FABIUS 2011A1 OCR,TOWN OF FORESTPORT 2011 OCR,TOWN OF FORESTPORT 2012 OCR,TOWN OF SENNETT 2012 OCR,TOWN OF TULLY 2010 OCR,TOWN OF TULLY 2011 OCR,TOWN OF TULLY 2012 OCR
Attomey Oudemooi,Ono,John Isley,Councilman William Kam,,,Spafford Creek,Spafford Creek
Betts Kuhn Dygert Richardson Bush,,Mary Ann Rubyor,Councilman William Karn,,,,Steven
Bill Kuhn,,Maryann Rubyor,Hasenauer,,,,Susan Vaccaro
Bush,,Robert Seager,Joanne Kwasniewski,,,,
Camille DiSanza,,William Hasenauer,Nancy Kardash,,,,
Ceieste Karakas Assessor Dave,,William Kam,Robert Seager,,,,
Celeste Karakas Assessor Dave,,William Karn,Ted Daktor,,,,
Councilor Betts,,William Karn Councilman William Rockhill Councilwoman Mary Ann Rubyor Councilman Robert Seager,William Hasenauer,,,,
Councilor Dygert,,,William Kam,,,,
Councilor Kuhn,,,William Karn,,,,
Councilor Richardson,,,,,,,
Deb Stapleton,,,,,,,
Doug Blurner,,,,,,,
Dygert,,,,,,,
Fred Weisskopf,,,,,,,
Hourigan,,,,,,,
Jennifer Thorpe,,,,,,,
Joe,,,,,,,
John Meixner,,,,,,,
Jordan,,,,,,,
Jordan Lyons,,,,,,,
Ken Bush Councilor George Betts Councilor Rita Dygert Councilor Vern Richardson,,,,,,,
Kuhn,,,,,,,
Kuhn Dygeit Richardson Bush,,,,,,,
Leo,,,,,,,
Meixner,,,,,,,
Mr Blumer,,,,,,,
Richardson,,,,,,,
Todd Rinaido Dana Anthonson Dan Conroy Dan Leary Doug Biumer Tom McGuire Cathy,,,,,,,
Todd Rinaldo Dana Anthonson Dan Conroy Dan Leary Doug Blumer Tom McGuire Cathy,,,,,,,
Toni McGuire,,,,,,,
